compl,accel,decel,cluster_ca,cluster_cd,cluster_ad,cluster_cad,result
1,1,5,7,3,2,2,53
1,3,5,9,3,1,3,49
1,5,5,8,3,1,3,63
1,5,5,8,3,1,3,58
1,5,5,8,3,1,3,45
1,5,5,8,3,1,3,28
1,5,5,8,3,1,3,28
1,3,4,9,2,1,3,50
1,3,4,9,2,1,3,50
1,4,4,2,2,1,3,51
1,5,4,8,2,1,3,43
1,5,4,8,2,1,3,39
1,1,3,7,2,2,2,25
1,2,3,14,2,2,2,25
1,2,3,14,2,2,2,25
1,3,3,9,2,2,2,25
1,4,3,2,2,1,3,42
1,4,3,2,2,1,3,42
1,4,3,2,2,1,3,38
1,4,3,2,2,1,3,30
1,5,3,8,2,1,3,46
1,5,3,8,2,1,3,46
1,5,3,8,2,1,3,38
1,5,3,8,2,1,3,32
1,5,3,8,2,1,3,31
1,5,3,8,2,1,3,31
1,3,2,9,2,2,2,33
1,1,1,7,2,2,2,28
1,1,1,7,2,2,2,25
1,1,1,7,2,2,2,24
1,1,1,7,2,2,2,24
1,1,1,7,2,2,2,23
1,1,1,7,2,2,2,23
1,2,1,14,2,2,2,24
1,2,1,14,2,2,2,24
1,2,1,14,2,2,2,23
1,3,1,9,2,2,2,38
1,3,1,9,2,2,2,31
1,3,1,9,2,2,2,31
1,3,1,9,2,2,2,31
1,4,1,2,2,2,2,27
1,5,1,8,2,2,3,27
1,5,1,8,2,2,3,24
1,5,1,8,2,2,3,24
2,5,5,15,3,1,3,68
2,5,5,15,3,1,3,68
2,5,5,15,3,1,3,60
2,5,5,15,3,1,3,48
2,5,5,15,3,1,3,45
2,3,4,10,3,1,3,53
2,5,4,15,3,1,3,48
2,5,4,15,3,1,3,46
2,4,3,2,2,1,3,63
2,4,3,2,2,1,3,53
2,4,3,2,2,1,3,41
2,5,3,15,2,1,3,63
2,5,3,15,2,1,3,55
2,5,3,15,2,1,3,43
2,5,3,15,2,1,3,43
2,5,3,15,2,1,3,41
2,3,2,10,2,2,2,30
2,1,1,7,2,2,2,24
2,3,1,10,2,2,2,29
3,3,5,5,3,1,1,66
3,3,5,5,3,1,1,66
3,3,5,5,3,1,1,43
3,4,5,12,3,1,1,78
3,4,5,12,3,1,1,45
3,5,5,13,3,1,1,82
3,5,5,13,3,1,1,82
3,5,5,13,3,1,1,79
3,5,5,13,3,1,1,77
3,5,5,13,3,1,1,76
3,5,5,13,3,1,1,56
3,2,4,6,3,2,2,68
3,5,4,13,3,1,1,83
3,5,4,13,3,1,1,81
3,5,4,13,3,1,1,81
3,5,4,13,3,1,1,74
3,5,4,13,3,1,1,74
3,5,4,13,3,1,1,59
3,3,3,5,2,2,2,65
3,4,3,12,2,1,3,68
3,4,3,12,2,1,3,49
3,5,3,13,2,1,3,63
3,5,3,13,2,1,3,62
3,3,1,5,2,2,2,56
3,3,1,5,2,2,2,56
3,3,1,5,2,2,2,35
4,5,5,13,3,1,1,99
4,5,5,13,3,1,1,99
4,5,5,13,3,1,1,98
4,5,5,13,3,1,1,97
4,5,5,13,3,1,1,96
4,5,5,13,3,1,1,95
4,5,5,13,3,1,1,94
4,5,5,13,3,1,1,89
4,5,5,13,3,1,1,88
4,5,5,13,3,1,1,77
4,5,5,13,3,1,1,75
4,5,5,13,3,1,1,75
4,5,5,13,3,1,1,70
4,4,4,12,1,1,1,97
4,4,4,12,1,1,1,92
4,4,4,12,1,1,1,91
4,5,4,13,1,1,1,89
4,5,4,13,1,1,1,89
4,5,4,13,1,1,1,89
4,5,4,13,1,1,1,89
4,5,4,13,1,1,1,88
4,5,4,13,1,1,1,85
4,5,4,13,1,1,1,81
4,5,2,13,1,1,1,77
5,1,5,3,1,2,1,94
5,4,5,4,1,1,1,99
5,5,5,1,1,1,1,100
5,5,5,1,1,1,1,99
5,5,5,1,1,1,1,99
5,5,5,1,1,1,1,98
5,5,5,1,1,1,1,98
5,5,5,1,1,1,1,98
5,5,5,1,1,1,1,97
5,5,5,1,1,1,1,95
5,5,5,1,1,1,1,95
5,5,5,1,1,1,1,94
5,5,5,1,1,1,1,94
5,5,5,1,1,1,1,94
5,5,5,1,1,1,1,92
5,5,5,1,1,1,1,92
5,5,5,1,1,1,1,91
5,5,5,1,1,1,1,90
5,5,5,1,1,1,1,90
5,5,5,1,1,1,1,88
5,5,5,1,1,1,1,87
5,3,4,11,1,1,1,92
5,3,4,11,1,1,1,89
5,4,4,4,1,1,1,90
5,5,4,1,1,1,1,91
5,5,4,1,1,1,1,76
5,3,3,11,1,2,1,95
5,4,3,4,1,1,1,62
5,4,3,4,1,1,1,62
5,5,3,1,1,1,1,95
5,5,3,1,1,1,1,85
5,5,3,1,1,1,1,82
5,3,2,11,1,2,1,67
5,1,1,3,1,2,2,32
5,5,1,1,1,2,1,31
5,5,1,1,1,2,1,31
